Date,Banks_Live_Count,Total_Volume_Mn,Total_Value_Cr,P2P_Volume_Mn,P2P_Value_Cr,P2M_Volume_Mn,P2M_Value_Cr,P2M_Volume_Share_Pct,P2M_Value_Share_Pct,Internet_Subscribers_Mn,Is_Diwali,Is_Holi,Is_Eid,Is_Christmas_NewYear,Is_Navratri_Dussehra,Is_Quarter_End,ATS_Overall,ATS_P2P,ATS_P2M,ATS_Divergence,Volume_Growth_MoM_Pct,ATS_P2P_Lag_1,ATS_P2P_Lag_2,ATS_P2P_Lag_3,ATS_P2M_Lag_1,ATS_P2M_Lag_2,ATS_P2M_Lag_3,ATS_Overall_Lag_1,ATS_Overall_Lag_2,ATS_Overall_Lag_3,Internet_Subscribers_Mn_Scaled
2025-03-01,661,18301.51,2477221.61,6840.45,1806811.06,11461.06,670410.55,62.62,27.06,945.65,0,1,1,0,0,1,1353.5613236284873,2641.362863554298,584.9463749426319,2056.4164886116664,13.63,2659.84145907326,2650.5863139467033,2671.608884988549,586.1716305377909,609.9520707679935,608.0856866883836,1363.7500178502798,1381.5233702047542,1389.5388645912349,0.7740125774781696
2025-04-01,668,17893.42,2394925.87,6539.82,1731364.08,11353.6,663561.79,63.45,27.71,951.2,0,0,0,0,0,0,1338.4394207479622,2647.418552804206,584.4505619363022,2062.9679908679036,-2.23,2641.362863554298,2659.84145907326,2650.5863139467033,584.9463749426319,586.1716305377909,609.9520707679935,1353.5613236284873,1363.7500178502798,1381.5233702047542,0.7991222910917073
2025-05-01,673,18677.46,2514297.01,6823.8,1817672.02,11853.66,696624.99,63.47,27.71,956.75,0,0,0,0,0,0,1346.166454110998,2663.724054046133,587.687676211398,2076.036377834735,4.38,2647.418552804206,2641.362863554298,2659.84145907326,584.4505619363022,584.9463749426319,586.1716305377909,1338.4394207479622,1353.5613236284873,1363.7500178502798,0.8242320047052432
2025-06-01,675,18395.01,2403930.69,6685.63,1721058.47,11709.38,682872.22,63.66,28.41,962.3,0,0,0,0,0,1,1306.8384795659258,2574.265207616934,583.1839260490308,1991.081281567903,-1.51,2663.724054046133,2647.418552804206,2641.362863554298,587.687676211398,584.4505619363022,584.9463749426319,1346.166454110998,1338.4394207479622,1353.5613236284873,0.8493417183187799
2025-07-01,684,19467.95,2508498.09,7079.84,1774485.73,12388.11,734012.36,63.63,29.26,967.85,0,0,0,0,0,0,1288.5270868273237,2506.392418472734,592.5135956978103,1913.8788227749237,5.83,2574.265207616934,2663.724054046133,2647.418552804206,583.1839260490308,587.687676211398,584.4505619363022,1306.8384795659258,1346.166454110998,1338.4394207479622,0.8744514319323167
2025-08-01,688,20008.31,2485472.91,7303.15,1761675.49,12705.16,723797.42,63.5,29.12,973.4,0,0,0,0,0,0,1242.2203124601729,2412.21320936856,569.6877646562499,1842.5254447123102,2.78,2506.392418472734,2574.265207616934,2663.724054046133,592.5135956978103,583.1839260490308,587.687676211398,1288.5270868273237,1306.8384795659258,1346.166454110998,0.8995611455458534
2025-09-01,686,19633.43,2489736.54,7266.46,1770169.25,12366.97,719567.29,62.99,28.9,978.95,0,0,0,0,1,1,1268.1108395221822,2436.0820124242064,581.8460706219876,1854.2359418022188,-1.87,2412.21320936856,2506.392418472734,2574.265207616934,569.6877646562499,592.5135956978103,583.1839260490308,1242.2203124601729,1288.5270868273237,1306.8384795659258,0.9246708591593902
2025-10-01,683,20700.92,2727790.68,7673.36,1902048.48,13027.56,825742.2,62.93,30.27,984.5,1,0,0,0,1,0,1317.7147102640852,2478.7687271286636,633.8425614620082,1844.9261656666554,5.44,2436.0820124242064,2412.21320936856,2506.392418472734,581.8460706219876,569.6877646562499,592.5135956978103,1268.1108395221822,1242.2203124601729,1288.5270868273237,0.949780572772926
2025-11-01,684,20466.98,2631632.63,7626.49,1867080.57,12840.49,764552.06,62.74,29.05,990.05,0,0,0,0,0,0,1285.7943038005606,2448.151862783535,595.4228070735619,1852.729055709973,-1.13,2478.7687271286636,2436.0820124242064,2412.21320936856,633.8425614620082,581.8460706219876,569.6877646562499,1317.7147102640852,1268.1108395221822,1242.2203124601729,0.9748902863864628
2025-12-01,685,21634.67,2796712.73,8152.29,1989139.74,13482.38,807572.99,62.32,28.88,995.6,0,0,0,1,0,1,1292.6995096296823,2439.9766691322316,598.9839998575919,1840.9926692746396,5.71,2448.151862783535,2478.7687271286636,2436.0820124242064,595.4228070735619,633.8425614620082,581.8460706219876,1285.7943038005606,1317.7147102640852,1268.1108395221822,0.9999999999999996
2026-01-01,691,21703.44,2833481.22,8095.35,1992655.39,13608.1,840825.83,62.7,29.67,995.6,0,0,0,0,0,0,1305.5447523526227,2461.48145540341,617.8862809650134,1843.5951744383967,0.32,2439.9766691322316,2448.151862783535,2478.7687271286636,598.9839998575919,595.4228070735619,633.8425614620082,1292.6995096296823,1285.7943038005606,1317.7147102640852,0.9999999999999996
2026-02-01,694,20394.18,2684229.29,7598.4,1911812.35,12795.78,772416.94,62.74,28.78,995.6,0,0,0,0,0,0,1316.1741683166472,2516.0722652137297,603.6497501520032,1912.4225150617265,-6.03,2461.48145540341,2439.9766691322316,2448.151862783535,617.8862809650134,598.9839998575919,595.4228070735619,1305.5447523526227,1292.6995096296823,1285.7943038005606,0.9999999999999996
2026-03-01,705,22641.11,2952542.05,8460.65,2091059.0,14180.46,861483.05,62.63,29.18,995.6,0,1,1,0,0,1,1304.0624112510384,2471.5110541152276,607.5141779603765,1863.9968761548512,11.02,2516.0722652137297,2461.48145540341,2439.9766691322316,603.6497501520032,617.8862809650134,598.9839998575919,1316.1741683166472,1305.5447523526227,1292.6995096296823,0.9999999999999996
