Snapshot_Month,App_Name,Total_Volume_Mn,Total_Value_Cr,Network_Volume,Market_Share_Pct,Market_Share_Squared
2024-03-01,Amazon Pay,65.35,6772.89,13460.81,0.4854834144453417,0.23569414570150743
2024-03-01,ICICI Bank Apps,45.98,26496.95,13460.81,0.34158419887064745,0.11667976491810203
2024-03-01,Fampay,43.69,528.01,13460.81,0.32457184968809455,0.10534688560995104
2024-03-01,Kotak Mahindra Bank Apps,39.14,5763.37,13460.81,0.2907700205262536,0.08454720483683795
2024-03-01,HDFC Bank Apps,35.03,7293.07,13460.81,0.26023693967896433,0.06772326477347292
2024-03-01,WhatsApp,31.21,2536.99,13460.81,0.23185826112990232,0.05375825325418197
2024-03-01,BHIM,30.04,8339.37,13460.81,0.22316636220257174,0.049803225218729444
2024-03-01,Yes Bank Apps,24.45,13869.1,13460.81,0.18163840066088147,0.0329925085946429
2024-03-01,Airtel Payments Bank Apps,16.01,1207.02,13460.81,0.11893786480902711,0.01414621568533041
2024-03-01,Bajaj Finserv,15.81,2803.2,13460.81,0.11745207012059454,0.013794988775613058
2024-03-01,Mobikwik,8.27,2190.01,13460.81,0.0614376103666867,0.003774579967568809
2024-03-01,India Post Payments Bank Apps,6.82,851.01,13460.81,0.05066559887555058,0.0025670029094181923
2024-03-01,Groww,6.72,3539.14,13460.81,0.04992270153133429,0.002492276128186687
2024-03-01,State Bank of India Apps,6.63,2395.88,13460.81,0.04925409392153964,0.002425965768031848
2024-03-01,IDFC Bank Apps,6.41,1581.28,13460.81,0.04761971976426382,0.002267637710427018
2024-03-01,Samsung Pay,6.24,530.8,13460.81,0.046356794279096135,0.00214895237583444
2024-03-01,Federal Bank Apps,6.11,806.46,13460.81,0.045391027731614964,0.0020603453985322388
2024-03-01,Jupiter,5.57,709.07,13460.81,0.041379382072847026,0.0017122532607306538
2024-03-01,Slice,5.22,538.12,13460.81,0.03877924136809003,0.001503829561084585
2024-03-01,Flipkart,5.0,197.24,13460.81,0.03714486721081421,0.0013797411601090207
2024-03-01,Deutsche Bank Apps,3.3,453.59,13460.81,0.024515612359137375,0.0006010152493434892
2024-03-01,Canara Bank Apps,3.1,798.84,13460.81,0.02302981767070481,0.0005303725019459075
2024-03-01,Navi,3.0,94.29,13460.81,0.022286920326488525,0.0004967068176392474
2024-03-01,Jio Payments Bank Apps,1.87,161.87,13460.81,0.013892180336844515,0.00019299267451140936
2024-03-01,Indian Bank Apps,1.86,384.79,13460.81,0.013817890602422887,0.00019093410070052675
2024-03-01,RBL Bank Apps,1.83,466.25,13460.81,0.013595021399158,0.00018482460684356397
2024-03-01,Punjab National Bank Apps,1.67,411.13,13460.81,0.012406385648411946,0.0001539184048571219
2024-03-01,IndusInd Bank Apps,1.39,228.14,13460.81,0.01032627308460635,0.00010663191581786554
2024-03-01,Timepay,1.37,18.52,13460.81,0.010177693615763095,0.00010358544733634487
2024-03-01,Union Bank Apps,1.35,517.16,13460.81,0.010029114146919836,0.00010058313057194759
2024-03-01,Omnicard,1.29,44.84,13460.81,0.009583375740390067,9.184109058149686e-05
2024-03-01,Other Apps,1.21,113.06,13460.81,0.008989057865017039,8.080316130062469e-05
2024-03-01,Bank of Baroda Apps,0.95,426.81,13460.81,0.0070575247700547,4.9808655879935644e-05
2024-03-01,Central Bank of India Apps,0.86,195.46,13460.81,0.006388917160260044,4.081826248066526e-05
2024-03-01,AU Small Finance Bank Apps,0.78,279.91,13460.81,0.005794599284887017,3.3577380872413124e-05
2024-03-01,Gokiwi,0.7,100.1,13460.81,0.005200281409513989,2.70429267381368e-05
2024-03-01,DBS Digibank Apps,0.51,203.18,13460.81,0.0037887764555030496,1.4354827029774252e-05
2024-03-01,Shriram One,0.48,38.71,13460.81,0.003565907252238164,1.2715694531564733e-05
2024-03-01,South Indian Bank Apps,0.4,120.88,13460.81,0.002971589376865137,8.830343424697732e-06
2024-03-01,Fino Payments bank Apps,0.39,50.97,13460.81,0.0028972996424435084,8.394345218103281e-06
2024-03-01,HSBC Bank Apps,0.31,138.22,13460.81,0.002302981767070481,5.303725019459075e-06
2024-03-01,TataNeu,0.25,25.46,13460.81,0.0018572433605407105,3.4493529002725517e-06
2024-03-01,Bank of India Apps,0.2,78.81,13460.81,0.0014857946884325685,2.207585856174433e-06
2024-03-01,Standard Chartered Bank Apps,0.19,116.88,13460.81,0.00141150495401094,1.9923462351974257e-06
2024-03-01,Dhani,0.19,5.98,13460.81,0.00141150495401094,1.9923462351974257e-06
2024-03-01,UCO Bank Apps,0.18,56.32,13460.81,0.0013372152195893117,1.788144543501291e-06
